"id","place","parent","country_code"
"98632","Сланцевский район","10174",""
"10888","Сланцы","98632",""
"10891","Сосновый Бор","10174",""
"98633","Тихвинский район","10174",""
"10892","Тихвин","98633",""
"98634","Тосненский район","10174",""
"10893","Тосно","98634",""
"10842","Архангельская область","17",""
"20","Архангельск","10842",""
"10846","Котлас","10842",""
"10849","Северодвинск","10842",""
"10853","Вологодская область","17",""
"21","Вологда","10853",""
"968","Череповец","10853",""
"10857","Калининградская область","17",""
"22","Калининград","10857",""
"10860","Советск","10857",""
"10897","Мурманская область","17",""
"10894","Апатиты","10897",""
"101749","Кандалакшский район","10897",""
"10895","Кандалакша","101749",""
"10896","Мончегорск","10897",""
"23","Мурманск","10897",""
"20155","Оленегорск","10897",""
"10176","Ненецкий автономный округ","17",""
"10902","Нарьян-Мар","10176",""
"10904","Новгородская область","17",""
"99146","Боровичский район","10904",""
"10906","Боровичи","99146",""
"24","Великий Новгород","10904",""
"99161","Старорусский район","10904",""
"10923","Старая Русса","99161",""
"10926","Псковская область","17",""
"10928","Великие Луки","10926",""
"25","Псков","10926",""
"10933","Республика Карелия","17",""
"99193","Кондопожский район","10933",""
"10934","Кондопога","99193",""
"10935","Костомукша","10933",""
"18","Петрозаводск","10933",""
"99203","Сегежский район","10933",""
"10936","Сегежа","99203",""
"110934","Сортавальский район","10933",""
"10937","Сортавала","110934",""
"10939","Республика Коми","17",""
"10940","Воркута","10939",""
"10941","Инта","10939",""
"99210","Район Печора","10939",""
"10942","Печора","99210",""
"19","Сыктывкар","10939",""
"10944","Усинск","10939",""
"10945","Ухта","10939",""
"40","Поволжье","225",""
"11070","Кировская область","40",""
"20020","Вятские Поляны","11070",""
"46","Киров","11070",""
"11071","Кирово-Чепецк","11070",""
"11079","Нижегородская область","40",""
"11080","Арзамас","11079",""
"20040","Выкса","11079",""
"972","Дзержинск","11079",""
"99555","Кстовский район","11079",""
"20044","Кстово","99555",""
"47","Нижний Новгород","11079",""
"99560","Павловский район","11079",""
"11082","Павлово","99560",""
"11083","Саров","11079",""
"11084","Оренбургская область","40",""
"11086","Бузулук","11084",""
"11087","Гай","11084",""
"11090","Новотроицк","11084",""
"48","Оренбург","11084",""
"11091","Орск","11084",""
"11095","Пензенская область","40",""
"11101","Кузнецк","11095",""
"49","Пенза","11095",""
"11108","Пермский край","40",""
"20237","Березники","11108",""
"20244","Лысьва","11108",""
"50","Пермь","11108",""
"11110","Соликамск","11108",""
"110916","Чайковский район","11108",""
"20243","Чайковский","110916",""
"11111","Республика Башкортостан","40",""
"99675","Белебеевский район","11111",""
"20714","Белебей","99675",""
"99677","Белорецкий район","11111",""
"20259","Белорецк","99677",""
"99694","Ишимбайский район","11111",""
"20718","Ишимбай","99694",""
"11113","Кумертау","11111",""
"99703","Мелеузовский район","11111",""
"20715","Мелеуз","99703",""
"11114","Нефтекамск","11111",""
"20235","Октябрьский","11111",""
"11115","Салават","11111",""
"20716","Сибай","11111",""
"11116","Стерлитамак","11111",""
"99712","Туймазинский район","11111",""
"20717","Туймазы","99712",""
"172","Уфа","11111",""
"99714","Учалинский район","11111",""
"20680","Учалы","99714",""
"11077","Республика Марий Эл","40",""
"20721","Волжск","11077",""
"41","Йошкар-Ола","11077",""
"11117","Республика Мордовия","40",""
"99737","Рузаевский район","11117",""
"20010","Рузаевка","99737",""
"42","Саранск","11117",""
"11119","Республика Татарстан","40",""
"11121","Альметьевск","11119",""
"11122","Бугульма","11119",""
"43","Казань","11119",""
"236","Набережные Челны","11119",""
"11127","Нижнекамск","11119",""
"11131","Самарская область","40",""
"11132","Жигулёвск","11131",""
"51","Самара","11131",""
"11139","Сызрань","11131",""
"240","Тольятти","11131",""
"11146","Саратовская область","40",""
"99817","Балаковский район","11146",""
"11143","Балаково","99817",""
"99818","Балашовский район","11146",""
"11144","Балашов","99818",""
"194","Саратов","11146",""
"99850","Энгельсский район","11146",""
"11147","Энгельс","99850",""
"11148","Удмуртская Республика","40",""
"11149","Воткинск","11148",""
"11150","Глазов","11148",""
"44","Ижевск","11148",""
"11152","Сарапул","11148",""
"11153","Ульяновская область","40",""
"11155","Димитровград","11153",""
"195","Ульяновск","11153",""
"11156","Чувашская Республика","40",""
"37133","Новочебоксарск","11156",""
"45","Чебоксары","11156",""
"20078","Шумерля","11156",""
"26","Юг","225",""
"10946","Астраханская область","26",""
"37","Астрахань","10946",""
"99221","Ахтубинский район","10946",""
"20167","Ахтубинск","99221",""
"10950","Волгоградская область","26",""
"38","Волгоград","10950",""
"10951","Волжский","10950",""
"10959","Камышин","10950",""
"10965","Михайловка","10950",""
"10981","Урюпинск","10950",""
"10995","Краснодарский край","26",""
"1107","Анапа","10995",""
"10987","Армавир","10995",""
"99269","Белореченский район","10995",""
"10988","Белореченск","99269",""
"10990","Геленджик","10995",""
"99274","Ейский район","10995",""
"10993","Ейск","99274",""
"99275","Кавказский район","10995",""
"10996","Кропоткин","99275",""
"35","Краснодар","10995",""
"99281","Крымский район","10995",""
"10997","Крымск","99281",""
"970","Новороссийск","10995",""
"99293","Славянский район","10995",""
"20704","Славянск-на-Кубани","99293",""
"239","Сочи","10995",""
"99297","Тимашевский район","10995",""
"21141","Тимашевск","99297",""
"99298","Тихорецкий район","10995",""
"11002","Тихорецк","99298",""
"99299","Туапсинский район","10995",""
"1058","Туапсе","99299",""
"11004","Республика Адыгея","26",""
"1093","Майкоп","11004",""
"11015","Республика Калмыкия","26",""
"1094","Элиста","11015",""
"11029","Ростовская область","26",""
"11030","Азов","11029",""
"99411","Белокалитвинский район","11029",""
"11034","Белая Калитва","99411",""
"11036","Волгодонск","11029",""
"11043","Каменск-Шахтинский","11029",""
"238","Новочеркасск","11029",""
"39","Ростов-на-Дону","11029",""
"971","Таганрог","11029",""
"11053","Шахты","11029",""
"59","Сибирь","225",""
"11235","Алтайский край","59",""
"197","Барнаул","11235",""
